,close,return,realreturn,direction,lag1,lag2,lag3,lag4,lag5,result,up,uptotal,rsi
2303,96.684,-0.007850449837461557,-0.7620000000000005,-1,2,1,0,1,1,0.7620000000000005,0,-0.0,32.66036655211904
2304,96.85700000000001,0.001787735374681865,0.17300000000001603,1,0,2,1,0,1,0.17300000000001603,1,0.17300000000001603,41.12619406737068
2305,97.316,0.004727751592134059,0.458999999999989,1,2,0,2,1,0,0.458999999999989,1,0.458999999999989,28.218226399673124
2306,98.14399999999999,0.00847237238196591,0.8279999999999887,1,2,2,0,2,1,0.8279999999999887,1,0.8279999999999887,39.46757191352505
2307,98.54,0.0040267691839762,0.396000000000015,1,3,2,2,0,2,0.396000000000015,1,0.396000000000015,47.46720116618084
2308,98.544,4.05918288703878e-05,0.003999999999990678,1,2,3,2,2,0,0.003999999999990678,1,0.003999999999990678,48.29692706405037
2309,98.15799999999999,-0.003924723647728078,-0.3860000000000099,-1,2,2,3,2,2,0.3860000000000099,0,-0.0,47.65296803652951
2310,98.749,0.006002851850719189,0.5910000000000082,1,1,2,2,3,2,0.5910000000000082,1,0.5910000000000082,48.070302591049035
2311,97.896,-0.00867558646431154,-0.8529999999999944,-1,2,1,2,2,3,0.8529999999999944,0,-0.0,47.08074534161497
2312,97.84299999999999,-0.0005415374687237133,-0.05300000000001148,-1,0,2,1,2,2,0.05300000000001148,0,-0.0,46.831421006178104
2313,98.17,0.003336516489786713,0.3270000000000124,1,1,0,2,1,2,0.3270000000000124,1,0.3270000000000124,51.66435506241337
2314,98.11399999999999,-0.0005706017965744745,-0.056000000000011596,-1,2,1,0,2,1,0.056000000000011596,0,-0.0,57.44024672320709
2315,97.359,-0.0077248904399192285,-0.7549999999999955,-1,1,2,1,0,2,0.7549999999999955,0,-0.0,50.98374679212997
2316,97.26799999999999,-0.0009351221221236354,-0.09100000000000819,-1,0,1,2,1,0,0.09100000000000819,0,-0.0,48.447854900592866
2317,97.381,0.0011610644051020449,0.11300000000001376,1,1,0,1,2,1,0.11300000000001376,1,0.11300000000001376,56.85349065880033
2318,97.645,0.002707332983831012,0.2639999999999958,1,2,1,0,1,2,0.2639999999999958,1,0.2639999999999958,57.61205564142171
2319,98.166,0.005321470494248855,0.5210000000000008,1,2,2,1,0,1,0.5210000000000008,1,0.5210000000000008,58.11378388697962
2320,98.491,0.0033052502161293033,0.32500000000000284,1,2,2,2,1,0,0.32500000000000284,1,0.32500000000000284,53.66420274551218
2321,98.34100000000001,-0.0015241427109172212,-0.14999999999999147,-1,2,2,2,2,1,0.14999999999999147,0,-0.0,47.78347070617068
2322,98.758,0.004231382423904342,0.4169999999999874,1,1,2,2,2,2,0.4169999999999874,1,0.4169999999999874,52.182782537739655
2323,98.62100000000001,-0.0013881924824909984,-0.13699999999998624,-1,2,1,2,2,2,0.13699999999998624,0,-0.0,54.97528476251902
2324,98.553,-0.0006897461399162407,-0.06800000000001205,-1,1,2,1,2,2,0.06800000000001205,0,-0.0,47.627118644067835
2325,98.663,0.0011155282675547346,0.10999999999999943,1,1,1,2,1,2,0.10999999999999943,1,0.10999999999999943,61.322704458222454
2326,98.005,-0.006691505026019827,-0.6580000000000013,-1,2,1,1,2,1,0.6580000000000013,0,-0.0,52.02905811623253
2327,99.152,0.011635528442513275,1.1470000000000056,1,0,2,1,1,2,1.1470000000000056,1,1.1470000000000056,60.20365752285948
2328,99.189,0.0003730948258724674,0.03699999999999193,1,3,0,2,1,1,0.03699999999999193,1,0.03699999999999193,61.214270811600294
2329,99.68,0.0049379339935188525,0.49100000000001387,1,2,3,0,2,1,0.49100000000001387,1,0.49100000000001387,75.62375800397447
2330,99.38600000000001,-0.0029537963666354996,-0.29399999999999693,-1,2,2,3,0,2,0.29399999999999693,0,-0.0,72.37954353338993
2331,99.99700000000001,0.006128926865575032,0.6110000000000042,1,1,2,2,3,0,0.6110000000000042,1,0.6110000000000042,75.0095602294457
